crash_date,case_id,crash_id,lat,lon,geocoded,fatality,serious_injury
2014-09-06,12-2761256,14045295,30.220951,-97.807008,Here,,Y
2014-12-01,161181265,14149912,30.216757,-97.744306,Here,,Y
2014-05-07,160470779,13829204,30.253787,-97.805527,Here,,Y
2012-10-02,12-2250396,13190757,30.288049,-97.665049,Here,,Y
2016-04-27,120322046,15055764,30.25245,-97.72363,Here,,Y
2016-02-16,163211969,14922092,30.22674,-97.76801,Here,,Y
2012-08-12,163261392,12848140,30.295849,-97.662985,Here,,Y
2012-02-01,163170476,12840763,30.26759,-97.74299,Here,,Y
2016-11-16,163161949,15441585,30.17325,-97.80039,Here,,Y
2016-11-21,10-1340629,15448838,30.22817,-97.77262,Here,,Y
2016-11-12,160170911,15432428,30.16055,-97.7908,Here,,Y
2016-11-11,150690273,15432424,30.40121,-97.72289,Here,,Y
2010-05-14,152120246,11382253,30.23353,-97.87616,Here,,Y
2016-01-18,120751114,14868185,30.36133,-97.64016,Here,,Y
2015-03-10,151991949,14342754,30.45674,-97.79299,Here,,Y
2015-07-31,162201663,14572664,30.39958,-97.67426,Here,,Y
2012-03-15,171271173,12835339,30.16684,-97.7915,Here,,Y
2015-07-18,171010773,14557715,30.366961,-97.684913,Here,,Y
2016-08-07,170701058,15260256,30.26825,-97.67032,Here,,Y
2017-05-07,162591217,15745548,30.25829,-97.81282,Here,,Y
2017-04-11,162800651,15731326,30.47553,-97.77669,Here,,Y
2017-03-11,161210365,15643692,30.352395,-97.795615,Here,,Y
2016-09-15,170101178,15326229,30.23852,-97.82209,Here,,Y
2016-10-06,163480713,15372092,30.40488,-97.71651,Here,,Y
2016-04-30,163451360,15285447,30.32148,-97.67929,Here,,Y
2017-01-10,150160331,15532651,30.37185,-97.71863,Here,,Y
2016-12-13,12-0121059,15489527,30.2161,-97.73705,Here,,Y
2016-12-10,162990853,15484805,30.234119,-97.866915,Here,,Y
2015-01-16,150821944,14251248,30.26759,-97.74299,Here,,Y
2012-01-12,142061740,12498654,30.32007,-97.69486,Here,,Y
2016-10-25,170270908,15396249,30.39492,-97.75201,Here,,Y
2015-03-23,143050166,14351586,30.385802,-97.821376,Here,,Y
2014-07-25,152720051,13963112,30.26928,-97.69496,Here,,Y
2017-01-26,162920150,15564715,30.40345,-97.67276,Here,,Y
2014-11-01,170461548,14102161,30.41976,-97.66086,Here,,Y
2015-09-29,170881224,15524485,30.393841,-97.672094,Here,,Y
2016-10-18,161660278,15411714,30.37117,-97.71586,Here,,Y
2017-02-15,142750302,15600999,30.1631,-97.69375,Here,,Y
2017-03-29,132432004,15673601,30.25739,-97.72571,Here,,Y
2016-06-14,152521672,15157174,30.41127,-97.74573,Here,,Y
2014-10-02,15-001641,14048511,30.40823,-97.73212,Here,,Y
2013-08-31,143421265,13477174,30.30756,-97.67805,Here,,Y
2015-09-09,151730702,14647010,30.22402,-97.76439,Here,,Y
